Full author list,First Author(s) & Year,Article Title,Application/Technology,Tech Used,Drone type,is_ag,DOI Link,Abstract,Country(ies),Tools,SEA_status,Section_relevance,In_manuscript
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba826830>,San et al. (2024),Policy Evaluation and Monitoring of Agricultural Expansion in Forests in Myanmar: An Integrated Approach of Remote Sensing Techniques and Social Surveys,Agricultural expansion policy evaluation,Satellite,,1,10.3390/land13020150,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba826890>,Myanmar,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba8268f0>,SEA,2.1 Remote Sensing; Intro/Background,Yes
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba826ec0>,Sandevoir et al. (2023),A Connectivity Approach to Agricultural Diffuse Pollution in Tropical Montane Catchments Dominated by Swidden Landscapes,Agricultural diffuse pollution connectivity,Satellite,,1,10.3390/land12040784,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba826f20>,Laos,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba826f80>,SEA,2.1 Remote Sensing,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba827550>,Santoro et al. (2025),Spatial analysis of deforestation in Indonesia in the period 1950-2017 and the role of protected areas,Spatial analysis of deforestation,NA (GIS),,0,10.1007/s10531-023-02679-8,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba8275b0>,Indonesia,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba827610>,SEA,General,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba827be0>,Sari et al. (2023),MAPPING LAND COVER TIME SERIES USING LANDSAT-8 AND SENTINEL-1 IN SOUTH KALIMANTAN,Land cover time series mapping,Satellite,,0,10.5194/isprs-archives-XLVIII-4-W6-2022-319-2023,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba827c40>,Indonesia,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba827ca0>,SEA,2.1 Remote Sensing,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba8442b0>,Sarmiento et al. (2024),"Potential impacts of industrial tree plantationencroachment on tree species diversity andcarbon storage in the riparian zones of AndananWatershed Forest Reserve, Philippines",Tree species diversity & carbon storage,"NA (GIS, RS)",,0,10.3897/oneeco.10.e135722,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba844310>,Philippines,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba844370>,SEA,General,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba844940>,Say et al. (2023),Performance Evaluation of Deep Learning Algorithms for Young and Mature Oil Palm Tree Detection,Young & mature oil palm tree detection,Satellite,,1,10.1007/978-981-99-0405-1_17,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba8449a0>,Malaysia,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba844a00>,SEA,"2.1 Remote Sensing, 2.4 AI Models",No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba844fd0>,Sayseng & Chuang (2025),Integrating Citizen Science and Remote Sensing Data to Identify Key Environmental Factors Influencing H5N1 Avian Influenza Virus Potential Spillover Risk in the Philippines,Avian influenza spillover risk modeling,Satellite,,0,10.1029/2025GH001405,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba845030>,Philippines,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba845090>,SEA,2.1 Remote Sensing,Yes
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba845660>,Sboui et al. (2023),A Machine-Learning-Based Approach to Predict Deforestation Related to Oil Palm: Conceptual Framework and Experimental Evaluation,Deforestation prediction related to oil palm,Satellite,,0,10.3390/app13031772,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba8456c0>,Indonesia,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba845720>,SEA,2.1 Remote Sensing,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba845cf0>,Schmidt et al. (2024),"Fire frequency, intensity, and burn severity in Kalimantan's threatened Peatland areas over two Decades",Peatland fire frequency & severity analysis,Satellite,,0,10.3389/ffgc.2024.1221797,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba845d50>,Indonesia,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba845db0>,SEA,2.1 Remote Sensing,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba846380>,Seeger et al. (2024),Evaluating flood hazards in data-sparse coastal lowlands: highlighting the Ayeyarwady Delta (Myanmar),Flood hazard evaluation in coastal lowlands,Satellite,,0,10.1088/1748-9326/ad5b07,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba8463e0>,Myanmar,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba846440>,SEA,2.1 Remote Sensing,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba846a10>,Seminar et al. (2023),Using Precision Agriculture (PA) Approach to Select Suitable Final Disposal Sites for Energy Generation,Final disposal site selection for energy generation,NA (Precision Agriculture Approach),,0,10.3390/info14010008,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba846a70>,Indonesia,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba846ad0>,SEA,General,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba8470a0>,Shen et al. (2025),CCD-Rice: a long-term paddy rice distribution dataset in China at 30 m resolution,Long-term paddy rice distribution dataset,Satellite,,1,10.5194/essd-17-2193-2025,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba847100>,China,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba847160>,Non-SEA → review for removal,2.1 Remote Sensing,Yes
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba847730>,Shimizu et al. (2023),Mapping Land Use/Land Cover Changes and Forest Disturbances in Vietnam Using a Landsat Temporal Segmentation Algorithm,LULCC & forest disturbance mapping,Satellite,,0,10.3390/rs15030851,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba847790>,Vietnam,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba8477f0>,SEA,2.1 Remote Sensing,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba847dc0>,Shiraishi et al. (2023),"Carbon dioxide emissions through land use change, fire, and oxidative peat decomposition in Borneo",CO2 emissions from land use change & fire,Satellite,,0,10.1038/s41598-023-40333-z,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba847e20>,Borneo,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba847e80>,Borderline-SEA → reclassify as SEA,2.1 Remote Sensing,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba860490>,Sholikah et al. (2025),"Mesolandform classification and its relationship with smallholder coffee production in the Malang Regency, Indonesia",Mesolandform classification for coffee production,Satellite,,1,10.20961/stjssa.v22i1.93461,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba8604f0>,Indonesia,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba860550>,SEA,2.1 Remote Sensing,Yes
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba860b20>,Simarmata et al. (2025),Investigation of mechanical properties and slope restoration potential of landslide sludge reinforced with palm oil plantation,Slope restoration with landslide sludge,NA (GIS),,0,10.1016/j.enggeo.2025.108222,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba860b80>,Indonesia,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba860be0>,SEA,General,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba8611b0>,Sin-ampol et al. (2025),Contextualising potential zones for ecosystem-based adaptation in Lower Northern Thailand: A mixed method analysis for water resources management,Ecosystem-based adaptation for water management,"NA (GIS, Climate Modeling)",,0,10.1016/j.jenvman.2025.124515,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba861210>,Thailand,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba861270>,SEA,General,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba861840>,Sodikin et al. (2025),"Spatial Analysis of Mangrove Change and Rehabilitation Guidelines in the North Coast Area of West Java Province, Indonesia",Mangrove change & rehabilitation guidelines,Satellite,,0,10.15244/pjoes/191530,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba8618a0>,Indonesia,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba861900>,SEA,2.1 Remote Sensing,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba861ed0>,Soler et al. (2024),Combining Deep Learning and Street View Imagery to Map Smallholder Crop Types,Smallholder crop type mapping,"Satellite, Street View Imagery",,1,N/A,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba861f30>,Thailand,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba861f90>,SEA,"2.1 Remote Sensing; 4/5 Practical/Adoption, 2.4 AI Models",Yes
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba862560>,Som-ard et al. (2024),Sugarcane yield estimation in Thailand at multiple scales using the integration of UAV and Sentinel-2 imagery,Sugarcane yield estimation,"Drone, Satellite",rgb,1,10.1007/s11119-024-10124-1,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba8625c0>,Thailand,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba862620>,SEA,2.1 Remote Sensing,Yes
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba862bf0>,Som-ard et al. (2024),Evaluating Sugarcane Yield Estimation in Thailand Using Multi-Temporal Sentinel-2 and Landsat Data Together with Machine-Learning Algorithms,Sugarcane yield estimation,Satellite,,1,10.3390/land13091481,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba862c50>,Thailand,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba862cb0>,SEA,2.1 Remote Sensing,Yes
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba863280>,Son et al. (2023),"Multidecadal evaluation of changes in coffee-growing areas using Landsat data in Central Highlands, Vietnam",Coffee-growing area change evaluation,Satellite,,1,10.1080/10106049.2023.2204099,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba8632e0>,Vietnam,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba863340>,SEA,2.1 Remote Sensing,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba863910>,Sourn et al. (2023),"Assessing Land Use and Land Cover (LULC) Change and Factors Affecting Agricultural Land: Case Study in Battambang Province, Cambodia",LULC change & agricultural land factor analysis,Satellite,,0,10.36956/rwae.v4i4.925,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba863970>,Cambodia,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba8639d0>,SEA,2.1 Remote Sensing,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba863fa0>,Stas et al. (2023),Implications of tropical cyclones on damage and potential recovery and restoration of logged forests in Vietnam,Tropical cyclone impact on logged forests,Satellite,,0,10.1098/rstb.2021.0081,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba87c040>,Vietnam,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba87c0a0>,SEA,2.1 Remote Sensing,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba87c670>,Subong-Espina et al. (2023),The Use of Open Data Kit (ODK) in Characterizing the Cacao Industry Sites in Panay Island,Cacao industry site characterization,"NA (ODK, Geospatial Data)",,1,N/A,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba87c6d0>,Philippines,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba87c730>,SEA,General,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba87cd00>,Sudiana et al. (2025),CNN-Random Forest Hybrid Method for Phenology-Based Paddy Rice Mapping Using Sentinel-2 and Landsat-8 Satellite Images,Paddy rice mapping,Satellite,,1,10.3390/computers14080336,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba87cd60>,Indonesia,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba87cdc0>,SEA,"2.1 Remote Sensing, 2.4 AI Models",No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba87d390>,Suksa-ngiam & Bechor (2024),The impact of applying digital process innovation to farm management on farmer welfare: A multiple case study,Digital innovation impact on farmer welfare,"IoT, NA (GIS decision support system)",,1,10.1177/02666669241258920,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba87d3f0>,Thailand,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba87d450>,SEA,2.2 IoT; 2.3 Robotics; 4/5 Practical/Adoption,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba87da20>,Sunantha et al. (2025),Machine learning-based estimation of soil organic carbon in Thailand's cash crops using multispectral and SAR data fusion combined with environmental variables,Soil organic carbon estimation,Satellite,,0,10.1080/10095020.2024.2440608,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba87da80>,Thailand,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba87dae0>,SEA,"2.1 Remote Sensing, 2.4 AI Models",No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba87e0b0>,Sutiningsih et al. (2024),"Geospatial Analysis of Abiotic and Biotic Conditions Associated with Leptospirosis in the Klaten Regency, Central Java, Indonesia",Leptospirosis environmental factor analysis,NA (Geospatial Analysis),,0,10.3390/tropicalmed9100225,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba87e110>,Indonesia,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba87e170>,SEA,General,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba87e740>,Suud & Kusbianto (2024),"Exploring El Nino effects on agricultural area using Landsat images analysis: A case study in Bondowoso Regency, Indonesia",El Nino effects on agricultural area,Satellite,,1,10.20961/stjssa.v21i2.85190,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba87e7a0>,Indonesia,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba87e800>,SEA,2.1 Remote Sensing,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba87edd0>,Suvittawat (2024),"Investigating Farmers' Perceptions of Drone Technology in Thailand: Exploring Expectations, Product Quality, Perceived Value, and Adoption in Agriculture",Farmer perceptions of drone technology,Drone,,1,10.3390/agriculture14122183,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba87ee30>,Thailand,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba87ee90>,SEA,2.1 Remote Sensing; 2.3 Robotics; 4/5 Practical/Adoption,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba87f460>,Suwanlee et al. (2023),"Monitoring Agricultural Land and Land Cover Change from 2001-2021 of the Chi River Basin, Thailand Using Multi-Temporal Landsat Data Based on Google Earth Engine",Agricultural land and land cover change monitoring,Satellite,,1,10.3390/rs15174339,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba87f4c0>,Thailand,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba87f520>,SEA,2.1 Remote Sensing,Yes
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba87faf0>,Suwanlee et al. (2024),Estimating Sugarcane Aboveground Biomass and Carbon Stock Using the Combined Time Series of Sentinel Data with Machine Learning Algorithms,Sugarcane AGB & carbon stock estimation,Satellite,,1,10.3390/rs16050750,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba87fb50>,Thailand,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba87fbb0>,SEA,"2.1 Remote Sensing, 2.4 AI Models",Yes
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba8a01c0>,Suwanlee et al. (2025),"Integrating PRISMA hyperspectral data with Sentinel-1, Sentinel-2 and Landsat data for mapping crop types and land cover in northeast Thailand",Crop type and land cover mapping,Satellite,,1,10.1016/j.ejrs.2025.04.005,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba8a0220>,Thailand,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba8a0280>,SEA,2.1 Remote Sensing,Yes
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba8a0850>,Suwanlee et al. (2025),Synergistic use of multi-sensor satellite data for mapping crop types and land cover dynamics from 2021 to 2023 in Northeast Thailand,Crop type and land cover mapping,Satellite,,1,10.1016/j.jag.2025.104673,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba8a08b0>,Thailand,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba8a0910>,SEA,2.1 Remote Sensing,Yes
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba8a0ee0>,Suwanprasit & Shahnawaz (2024),Mapping burned areas in Thailand using Sentinel-2 imagery and OBIA techniques,Burned area mapping,Satellite,,0,10.1038/s41598-024-60512-w,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba8a0f40>,Thailand,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba8a0fa0>,SEA,2.1 Remote Sensing,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba8a1570>,Swe et al. (2023),"Assessment on land use changes and livelihood transition under the hydropower dam construction in Paunglaung Township, Southern Shan Highlands, Myanmar",Hydropower dam impact on land use & livelihoods,Satellite,,0,10.1002/ldr.4844,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba8a15d0>,Myanmar,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba8a1630>,SEA,2.1 Remote Sensing,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba8a1c00>,Syahid et al. (2025),Climate drives variation in remotely sensed palm oil yield in Indonesia and Malaysia,Palm oil yield variation drivers,Satellite,,1,10.1088/1748-9326/adbfac,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba8a1c60>,"Indonesia, Malaysia",<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba8a1cc0>,SEA,2.1 Remote Sensing,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba8a2290>,Tafese et al. (2025),"From fields to factories: Special economic zones, foreign direct investment, and labour markets in Vietnam",Economic zone impact on labor markets,Satellite,,0,10.1016/j.jdeveco.2025.103467,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba8a22f0>,Vietnam,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bba8a2350>,SEA,2.1 Remote Sensing,No
